trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
TB1,14:10:00,14:10:00,203,95,0,0
TB1,14:11:00,14:11:00,204,96,0,0
TB1,14:13:00,14:13:00,205,97,0,0
TB1,14:20:00,14:20:00,206,98,0,0
TB1,14:26:00,14:26:00,207,99,0,0
TB1,14:28:00,14:28:00,208,100,0,0
TB1,14:30:00,14:30:00,209,101,0,0
TB1,14:32:00,14:32:00,210,102,0,0
TB1,14:34:00,14:34:00,211,103,0,0
TB1,14:39:00,14:39:00,212,104,0,0
TB1,14:42:00,15:00:00,001,105,0,0
TB1,15:06:00,15:06:00,201,106,0,0
TB1,15:08:00,15:08:00,202,107,0,0
TB1,15:10:00,15:10:00,203,108,0,0
TB1,15:11:00,15:11:00,204,109,0,0
TB1,15:13:00,15:13:00,205,110,0,0
TB1,15:20:00,15:20:00,206,111,0,0
TB1,15:26:00,15:26:00,207,112,0,0
TB1,15:28:00,15:28:00,208,113,0,0
TB1,15:30:00,15:30:00,209,114,0,0
TB1,15:32:00,15:32:00,210,115,0,0
TB1,15:34:00,15:34:00,211,116,0,0
TB1,15:39:00,15:39:00,212,117,0,0
TB1,15:42:00,16:00:00,001,118,0,0
TB1,16:06:00,16:06:00,201,119,0,0
TB1,16:08:00,16:08:00,202,120,0,0
TB1,16:10:00,16:10:00,203,121,0,0
TB1,16:11:00,16:11:00,204,122,0,0
TB1,16:13:00,16:13:00,205,123,0,0
TB1,16:20:00,16:20:00,206,124,0,0
TB1,16:26:00,16:26:00,207,125,0,0
TB1,16:28:00,16:28:00,208,126,0,0
TB1,16:30:00,16:30:00,209,127,0,0
TB1,16:32:00,16:32:00,210,128,0,0
TB1,16:34:00,16:34:00,211,129,0,0
TB1,16:39:00,16:39:00,212,130,0,0
TB1,16:42:00,17:00:00,001,131,0,0
TB1,17:06:00,17:06:00,201,132,0,0
TB1,17:08:00,17:08:00,202,133,0,0
TB1,17:10:00,17:10:00,203,134,0,0
TB1,17:11:00,17:11:00,204,135,0,0
TB1,17:13:00,17:13:00,205,136,0,0
TB1,17:20:00,17:20:00,206,137,0,0
TB1,17:26:00,17:26:00,207,138,0,0
TB1,17:28:00,17:28:00,208,139,0,0
TB1,17:30:00,17:30:00,209,140,0,0
TB1,17:32:00,17:32:00,210,141,0,0
TB1,17:34:00,17:34:00,211,142,0,0
TB1,17:39:00,17:39:00,212,143,0,0
TB1,17:42:00,18:00:00,001,144,0,0
TG1,07:00:00,07:00:00,001,1,0,0
TG1,07:02:00,07:02:00,301,2,0,0
TG1,07:04:00,07:04:00,302,3,0,0
TG1,07:05:00,07:05:00,303,4,0,0
TG1,07:09:00,07:09:00,304,5,0,0
TG1,07:13:00,07:13:00,305,6,0,0
TG1,07:16:00,07:16:00,306,7,0,0
TG1,07:17:00,07:17:00,307,8,0,0
TG1,07:20:00,07:20:00,308,9,0,0
TG1,07:23:00,07:23:00,309,10,0,0
TG1,07:25:00,07:25:00,310,11,0,0
TG1,07:27:00,07:27:00,311,12,0,0
TG1,07:29:00,07:29:00,312,13,0,0
TG1,07:32:00,07:32:00,313,14,0,0
TG1,07:34:00,07:34:00,314,15,0,0
TG1,07:36:00,07:36:00,315,16,0,0
TG1,07:39:00,07:39:00,316,17,0,0
TG1,07:41:00,07:41:00,305,18,0,0
TG1,07:50:00,08:00:00,001,19,0,0
TG1,08:02:00,08:02:00,301,20,0,0
TG1,08:04:00,08:04:00,302,21,0,0
TG1,08:05:00,08:05:00,303,22,0,0
TG1,08:09:00,08:09:00,304,23,0,0
TG1,08:13:00,08:13:00,305,24,0,0
TG1,08:16:00,08:16:00,306,25,0,0
TG1,08:17:00,08:17:00,307,26,0,0
TG1,08:20:00,08:20:00,308,27,0,0
TG1,08:23:00,08:23:00,309,28,0,0
TG1,08:25:00,08:25:00,310,29,0,0
TG1,08:27:00,08:27:00,311,30,0,0
TG1,08:29:00,08:29:00,312,31,0,0
TG1,08:32:00,08:32:00,313,32,0,0
TG1,08:34:00,08:34:00,314,33,0,0
TG1,08:36:00,08:36:00,315,34,0,0
TG1,08:39:00,08:39:00,316,35,0,0
TG1,08:41:00,08:41:00,305,36,0,0
TG1,08:50:00,09:00:00,001,37,0,0
TG1,09:02:00,09:02:00,301,38,0,0
TG1,09:04:00,09:04:00,302,39,0,0
TG1,09:05:00,09:05:00,303,40,0,0
TG1,09:09:00,09:09:00,304,41,0,0
TG1,09:13:00,09:13:00,305,42,0,0
TG1,09:16:00,09:16:00,306,43,0,0
TG1,09:17:00,09:17:00,307,44,0,0
TG1,09:20:00,09:20:00,308,45,0,0
TG1,09:23:00,09:23:00,309,46,0,0
TG1,09:25:00,09:25:00,310,47,0,0
TG1,09:27:00,09:27:00,311,48,0,0
TG1,09:29:00,09:29:00,312,49,0,0
TG1,09:32:00,09:32:00,313,50,0,0
TG1,09:34:00,09:34:00,314,51,0,0
TG1,09:36:00,09:36:00,315,52,0,0
TG1,09:39:00,09:39:00,316,53,0,0
TG1,09:41:00,09:41:00,305,54,0,0
TG1,09:50:00,10:00:00,001,55,0,0
TG1,10:02:00,10:02:00,301,56,0,0
TG1,10:04:00,10:04:00,302,57,0,0
TG1,10:05:00,10:05:00,303,58,0,0
TG1,10:09:00,10:09:00,304,59,0,0
TG1,10:13:00,10:13:00,305,60,0,0
TG1,10:16:00,10:16:00,306,61,0,0
TG1,10:17:00,10:17:00,307,62,0,0
TG1,10:20:00,10:20:00,308,63,0,0
TG1,10:23:00,10:23:00,309,64,0,0
TG1,10:25:00,10:25:00,310,65,0,0
TG1,10:27:00,10:27:00,311,66,0,0
TG1,10:29:00,10:29:00,312,67,0,0
TG1,10:32:00,10:32:00,313,68,0,0
TG1,10:34:00,10:34:00,314,69,0,0
TG1,10:36:00,10:36:00,315,70,0,0
TG1,10:39:00,10:39:00,316,71,0,0
TG1,10:41:00,10:41:00,305,72,0,0
TG1,10:50:00,11:00:00,001,73,0,0
TG1,11:02:00,11:02:00,301,74,0,0
TG1,11:04:00,11:04:00,302,75,0,0
TG1,11:05:00,11:05:00,303,76,0,0
TG1,11:09:00,11:09:00,304,77,0,0
TG1,11:13:00,11:13:00,305,78,0,0
TG1,11:16:00,11:16:00,306,79,0,0
TG1,11:17:00,11:17:00,307,80,0,0
TG1,11:20:00,11:20:00,308,81,0,0
TG1,11:23:00,11:23:00,309,82,0,0
TG1,11:25:00,11:25:00,310,83,0,0
TG1,11:27:00,11:27:00,311,84,0,0
TG1,11:29:00,11:29:00,312,85,0,0
TG1,11:32:00,11:32:00,313,86,0,0
TG1,11:34:00,11:34:00,314,87,0,0
TG1,11:36:00,11:36:00,315,88,0,0
TG1,11:39:00,11:39:00,316,89,0,0
TG1,11:41:00,11:41:00,305,90,0,0
TG1,11:50:00,12:00:00,001,91,0,0
TG1,12:02:00,12:02:00,301,92,0,0
TG1,12:04:00,12:04:00,302,93,0,0
TG1,12:05:00,12:05:00,303,94,0,0
TG1,12:09:00,12:09:00,304,95,0,0
TG1,12:13:00,12:13:00,305,96,0,0
TG1,12:16:00,12:16:00,306,97,0,0
TG1,12:17:00,12:17:00,307,98,0,0
TG1,12:20:00,12:20:00,308,99,0,0
TG1,12:23:00,12:23:00,309,100,0,0
TG1,12:25:00,12:25:00,310,101,0,0
TG1,12:27:00,12:27:00,311,102,0,0
TG1,12:29:00,12:29:00,312,103,0,0
TG1,12:32:00,12:32:00,313,104,0,0
TG1,12:34:00,12:34:00,314,105,0,0
TG1,12:36:00,12:36:00,315,106,0,0
TG1,12:39:00,12:39:00,316,107,0,0
TG1,12:41:00,12:41:00,305,108,0,0
TG1,12:50:00,13:00:00,001,109,0,0
TG1,13:02:00,13:02:00,301,110,0,0
TG1,13:04:00,13:04:00,302,111,0,0
TG1,13:05:00,13:05:00,303,112,0,0
TG1,13:09:00,13:09:00,304,113,0,0
TG1,13:13:00,13:13:00,305,114,0,0
TG1,13:16:00,13:16:00,306,115,0,0
TG1,13:17:00,13:17:00,307,116,0,0
TG1,13:20:00,13:20:00,308,117,0,0
TG1,13:23:00,13:23:00,309,118,0,0
TG1,13:25:00,13:25:00,310,119,0,0
TG1,13:27:00,13:27:00,311,120,0,0
TG1,13:29:00,13:29:00,312,121,0,0
TG1,13:32:00,13:32:00,313,122,0,0
TG1,13:34:00,13:34:00,314,123,0,0
TG1,13:36:00,13:36:00,315,124,0,0
TG1,13:39:00,13:39:00,316,125,0,0
TG1,13:41:00,13:41:00,305,126,0,0
TG1,13:50:00,14:00:00,001,127,0,0
TG1,14:02:00,14:02:00,301,128,0,0
TG1,14:04:00,14:04:00,302,129,0,0
TG1,14:05:00,14:05:00,303,130,0,0
TG1,14:09:00,14:09:00,304,131,0,0
TG1,14:13:00,14:13:00,305,132,0,0
TG1,14:16:00,14:16:00,306,133,0,0
TG1,14:17:00,14:17:00,307,134,0,0
TG1,14:20:00,14:20:00,308,135,0,0
TG1,14:23:00,14:23:00,309,136,0,0
TG1,14:25:00,14:25:00,310,137,0,0
TG1,14:27:00,14:27:00,311,138,0,0
TG1,14:29:00,14:29:00,312,139,0,0
TG1,14:32:00,14:32:00,313,140,0,0
TG1,14:34:00,14:34:00,314,141,0,0
TG1,14:36:00,14:36:00,315,142,0,0
TG1,14:39:00,14:39:00,316,143,0,0
TG1,14:41:00,14:41:00,305,144,0,0
TG1,14:50:00,15:00:00,001,145,0,0
TG1,15:02:00,15:02:00,301,146,0,0
TG1,15:04:00,15:04:00,302,147,0,0
TG1,15:05:00,15:05:00,303,148,0,0
TG1,15:09:00,15:09:00,304,149,0,0
TG1,15:13:00,15:13:00,305,150,0,0
TG1,15:16:00,15:16:00,306,151,0,0
TG1,15:17:00,15:17:00,307,152,0,0
TG1,15:20:00,15:20:00,308,153,0,0
TG1,15:23:00,15:23:00,309,154,0,0
TG1,15:25:00,15:25:00,310,155,0,0
TG1,15:27:00,15:27:00,311,156,0,0
TG1,15:29:00,15:29:00,312,157,0,0
TG1,15:32:00,15:32:00,313,158,0,0
TG1,15:34:00,15:34:00,314,159,0,0
TG1,15:36:00,15:36:00,315,160,0,0
TG1,15:39:00,15:39:00,316,161,0,0
TG1,15:41:00,15:41:00,305,162,0,0
TG1,15:50:00,16:00:00,001,163,0,0
TG1,16:02:00,16:02:00,301,164,0,0
TG1,16:04:00,16:04:00,302,165,0,0
TG1,16:05:00,16:05:00,303,166,0,0
TG1,16:09:00,16:09:00,304,167,0,0
TG1,16:13:00,16:13:00,305,168,0,0
TG1,16:16:00,16:16:00,306,169,0,0
TG1,16:17:00,16:17:00,307,170,0,0
TG1,16:20:00,16:20:00,308,171,0,0
TG1,16:23:00,16:23:00,309,172,0,0
TG1,16:25:00,16:25:00,310,173,0,0
TG1,16:27:00,16:27:00,311,174,0,0
TG1,16:29:00,16:29:00,312,175,0,0
TG1,16:32:00,16:32:00,313,176,0,0
TG1,16:34:00,16:34:00,314,177,0,0
TG1,16:36:00,16:36:00,315,178,0,0
TG1,16:39:00,16:39:00,316,179,0,0
TG1,16:41:00,16:41:00,305,180,0,0
TG1,16:50:00,17:00:00,001,181,0,0
TG1,17:02:00,17:02:00,301,182,0,0
TG1,17:04:00,17:04:00,302,183,0,0
TG1,17:05:00,17:05:00,303,184,0,0
TG1,17:09:00,17:09:00,304,185,0,0
TG1,17:13:00,17:13:00,305,186,0,0
TG1,17:16:00,17:16:00,306,187,0,0
TG1,17:17:00,17:17:00,307,188,0,0
TG1,17:20:00,17:20:00,308,189,0,0
